time:2015-12-30 21:05:17,center:['n', 6.749],vowels:[['e', 12.702], ['o', 7.507], ['i', 6.966]],consonants:[['z', 0.074], ['h', 6.094], ['t', 9.056]],all_letters:[['n', 6.749], ['e', 12.702], ['o', 7.507], ['i', 6.966], ['z', 0.074], ['h', 6.094], ['t', 9.056]],freq_mean:7.02114285714
time:2015-12-30 21:32:46,center:['m', 2.406],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['t', 9.056], ['n', 6.749], ['f', 2.228], ['l', 4.025]],all_letters:[['m', 2.406], ['i', 6.966], ['e', 12.702], ['t', 9.056], ['n', 6.749], ['f', 2.228], ['l', 4.025]],freq_mean:6.30457142857
time:2015-12-30 21:35:01,center:['w', 2.361],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['h', 6.094], ['r', 5.987], ['q', 0.095], ['t', 9.056]],all_letters:[['w', 2.361], ['e', 12.702], ['i', 6.966], ['h', 6.094], ['r', 5.987], ['q', 0.095], ['t', 9.056]],freq_mean:6.18014285714
time:2015-12-30 21:36:49,center:['d', 4.253],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['t', 9.056], ['r', 5.987], ['c', 2.782], ['g', 2.015]],all_letters:[['d', 4.253], ['a', 8.167], ['e', 12.702], ['t', 9.056], ['r', 5.987], ['c', 2.782], ['g', 2.015]],freq_mean:6.42314285714
time:2015-12-30 21:42:31,center:['y', 1.974],vowels:[['e', 12.702], ['o', 7.507], ['i', 6.966]],consonants:[['t', 9.056], ['v', 0.978], ['h', 6.094]],all_letters:[['y', 1.974], ['e', 12.702], ['o', 7.507], ['i', 6.966], ['t', 9.056], ['v', 0.978], ['h', 6.094]],freq_mean:6.46814285714
time:2015-12-30 21:42:36,center:['i', 6.966],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['f', 2.228], ['t', 9.056], ['m', 2.406], ['n', 6.749]],all_letters:[['i', 6.966], ['e', 12.702], ['a', 8.167], ['f', 2.228], ['t', 9.056], ['m', 2.406], ['n', 6.749]],freq_mean:6.89628571429
time:2015-12-30 21:42:40,center:['f', 2.228],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['t', 9.056], ['c', 2.782], ['r', 5.987], ['s', 6.327]],all_letters:[['f', 2.228], ['o', 7.507], ['e', 12.702], ['t', 9.056], ['c', 2.782], ['r', 5.987], ['s', 6.327]],freq_mean:6.65557142857
time:2015-12-30 21:43:21,center:['p', 1.929],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['r', 5.987], ['t', 9.056], ['h', 6.094], ['d', 4.253]],all_letters:[['p', 1.929], ['o', 7.507], ['e', 12.702], ['r', 5.987], ['t', 9.056], ['h', 6.094], ['d', 4.253]],freq_mean:6.78971428571
time:2015-12-30 21:43:25,center:['b', 1.492],vowels:[['a', 8.167], ['o', 7.507], ['e', 12.702]],consonants:[['t', 9.056], ['p', 1.929], ['d', 4.253]],all_letters:[['b', 1.492], ['a', 8.167], ['o', 7.507], ['e', 12.702], ['t', 9.056], ['p', 1.929], ['d', 4.253]],freq_mean:6.44371428571
time:2015-12-30 21:43:29,center:['c', 2.782],vowels:[['a', 8.167], ['e', 12.702], ['i', 6.966]],consonants:[['h', 6.094], ['w', 2.361], ['t', 9.056]],all_letters:[['c', 2.782], ['a', 8.167], ['e', 12.702], ['i', 6.966], ['h', 6.094], ['w', 2.361], ['t', 9.056]],freq_mean:6.87542857143
time:2015-12-30 21:44:21,center:['u', 2.758],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['d', 4.253], ['l', 4.025], ['h', 6.094], ['r', 5.987]],all_letters:[['u', 2.758], ['e', 12.702], ['a', 8.167], ['d', 4.253], ['l', 4.025], ['h', 6.094], ['r', 5.987]],freq_mean:6.28371428571
time:2015-12-30 21:44:29,center:['n', 6.749],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['t', 9.056], ['s', 6.327], ['c', 2.782], ['w', 2.361]],all_letters:[['n', 6.749], ['o', 7.507], ['e', 12.702], ['t', 9.056], ['s', 6.327], ['c', 2.782], ['w', 2.361]],freq_mean:6.78342857143
time:2015-12-30 21:45:07,center:['n', 6.749],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['h', 6.094], ['s', 6.327], ['y', 1.974], ['r', 5.987]],all_letters:[['n', 6.749], ['o', 7.507], ['e', 12.702], ['h', 6.094], ['s', 6.327], ['y', 1.974], ['r', 5.987]],freq_mean:6.76285714286
time:2015-12-30 21:46:40,center:['v', 0.978],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['l', 4.025], ['h', 6.094], ['s', 6.327], ['r', 5.987]],all_letters:[['v', 0.978], ['e', 12.702], ['i', 6.966], ['l', 4.025], ['h', 6.094], ['s', 6.327], ['r', 5.987]],freq_mean:6.15414285714
time:2015-12-30 21:47:08,center:['y', 1.974],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['v', 0.978], ['t', 9.056], ['n', 6.749], ['r', 5.987]],all_letters:[['y', 1.974], ['a', 8.167], ['e', 12.702], ['v', 0.978], ['t', 9.056], ['n', 6.749], ['r', 5.987]],freq_mean:6.51614285714
time:2015-12-30 21:49:02,center:['u', 2.758],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['g', 2.015], ['h', 6.094], ['t', 9.056], ['l', 4.025]],all_letters:[['u', 2.758], ['e', 12.702], ['a', 8.167], ['g', 2.015], ['h', 6.094], ['t', 9.056], ['l', 4.025]],freq_mean:6.40242857143
time:2015-12-30 21:49:53,center:['z', 0.074],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['d', 4.253], ['l', 4.025], ['t', 9.056], ['h', 6.094]],all_letters:[['z', 0.074], ['e', 12.702], ['a', 8.167], ['d', 4.253], ['l', 4.025], ['t', 9.056], ['h', 6.094]],freq_mean:6.33871428571
time:2015-12-30 21:49:58,center:['m', 2.406],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['t', 9.056], ['y', 1.974], ['n', 6.749], ['l', 4.025]],all_letters:[['m', 2.406], ['i', 6.966], ['e', 12.702], ['t', 9.056], ['y', 1.974], ['n', 6.749], ['l', 4.025]],freq_mean:6.26828571429
time:2015-12-30 21:50:08,center:['q', 0.095],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['s', 6.327], ['c', 2.782], ['h', 6.094], ['n', 6.749]],all_letters:[['q', 0.095], ['e', 12.702], ['i', 6.966], ['s', 6.327], ['c', 2.782], ['h', 6.094], ['n', 6.749]],freq_mean:5.95928571429
time:2015-12-30 21:50:52,center:['v', 0.978],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['h', 6.094], ['s', 6.327], ['t', 9.056], ['c', 2.782]],all_letters:[['v', 0.978], ['i', 6.966], ['e', 12.702], ['h', 6.094], ['s', 6.327], ['t', 9.056], ['c', 2.782]],freq_mean:6.415
time:2015-12-30 21:51:43,center:['n', 6.749],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['s', 6.327], ['t', 9.056], ['y', 1.974], ['c', 2.782]],all_letters:[['n', 6.749], ['o', 7.507], ['e', 12.702], ['s', 6.327], ['t', 9.056], ['y', 1.974], ['c', 2.782]],freq_mean:6.72814285714
time:2015-12-30 21:54:27,center:['w', 2.361],vowels:[['e', 12.702], ['a', 8.167], ['i', 6.966]],consonants:[['t', 9.056], ['p', 1.929], ['l', 4.025]],all_letters:[['w', 2.361], ['e', 12.702], ['a', 8.167], ['i', 6.966], ['t', 9.056], ['p', 1.929], ['l', 4.025]],freq_mean:6.458
time:2015-12-30 21:54:35,center:['k', 0.772],vowels:[['e', 12.702], ['o', 7.507], ['a', 8.167]],consonants:[['t', 9.056], ['v', 0.978], ['h', 6.094]],all_letters:[['k', 0.772], ['e', 12.702], ['o', 7.507], ['a', 8.167], ['t', 9.056], ['v', 0.978], ['h', 6.094]],freq_mean:6.468
time:2015-12-30 21:54:48,center:['c', 2.782],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['n', 6.749], ['l', 4.025], ['t', 9.056], ['s', 6.327]],all_letters:[['c', 2.782], ['i', 6.966], ['e', 12.702], ['n', 6.749], ['l', 4.025], ['t', 9.056], ['s', 6.327]],freq_mean:6.94385714286
time:2015-12-30 21:54:54,center:['w', 2.361],vowels:[['e', 12.702], ['i', 6.966], ['a', 8.167]],consonants:[['s', 6.327], ['x', 0.15], ['t', 9.056]],all_letters:[['w', 2.361], ['e', 12.702], ['i', 6.966], ['a', 8.167], ['s', 6.327], ['x', 0.15], ['t', 9.056]],freq_mean:6.53271428571
time:2015-12-30 21:55:09,center:['k', 0.772],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['d', 4.253], ['h', 6.094], ['r', 5.987], ['s', 6.327]],all_letters:[['k', 0.772], ['e', 12.702], ['a', 8.167], ['d', 4.253], ['h', 6.094], ['r', 5.987], ['s', 6.327]],freq_mean:6.32885714286
time:2015-12-30 21:55:18,center:['v', 0.978],vowels:[['o', 7.507], ['a', 8.167], ['e', 12.702]],consonants:[['g', 2.015], ['s', 6.327], ['t', 9.056]],all_letters:[['v', 0.978], ['o', 7.507], ['a', 8.167], ['e', 12.702], ['g', 2.015], ['s', 6.327], ['t', 9.056]],freq_mean:6.67885714286
time:2015-12-30 22:03:52,center:['v', 0.978],vowels:[['a', 8.167], ['o', 7.507], ['e', 12.702]],consonants:[['y', 1.974], ['s', 6.327], ['n', 6.749]],all_letters:[['v', 0.978], ['a', 8.167], ['o', 7.507], ['e', 12.702], ['y', 1.974], ['s', 6.327], ['n', 6.749]],freq_mean:6.34342857143
time:2015-12-30 22:03:56,center:['s', 6.327],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['t', 9.056], ['h', 6.094], ['c', 2.782], ['l', 4.025]],all_letters:[['s', 6.327], ['e', 12.702], ['i', 6.966], ['t', 9.056], ['h', 6.094], ['c', 2.782], ['l', 4.025]],freq_mean:6.85028571429
time:2015-12-30 22:04:03,center:['b', 1.492],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['s', 6.327], ['t', 9.056], ['h', 6.094], ['z', 0.074]],all_letters:[['b', 1.492], ['o', 7.507], ['e', 12.702], ['s', 6.327], ['t', 9.056], ['h', 6.094], ['z', 0.074]],freq_mean:6.17885714286
time:2015-12-30 22:04:42,center:['k', 0.772],vowels:[['e', 12.702], ['a', 8.167], ['i', 6.966]],consonants:[['t', 9.056], ['v', 0.978], ['r', 5.987]],all_letters:[['k', 0.772], ['e', 12.702], ['a', 8.167], ['i', 6.966], ['t', 9.056], ['v', 0.978], ['r', 5.987]],freq_mean:6.37542857143
time:2015-12-30 22:04:44,center:['u', 2.758],vowels:[['e', 12.702], ['o', 7.507]],consonants:[['c', 2.782], ['g', 2.015], ['t', 9.056], ['h', 6.094]],all_letters:[['u', 2.758], ['e', 12.702], ['o', 7.507], ['c', 2.782], ['g', 2.015], ['t', 9.056], ['h', 6.094]],freq_mean:6.13057142857
time:2015-12-30 22:04:45,center:['u', 2.758],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['y', 1.974], ['t', 9.056], ['m', 2.406], ['s', 6.327]],all_letters:[['u', 2.758], ['i', 6.966], ['e', 12.702], ['y', 1.974], ['t', 9.056], ['m', 2.406], ['s', 6.327]],freq_mean:6.027
time:2015-12-30 22:05:13,center:['p', 1.929],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['b', 1.492], ['r', 5.987], ['l', 4.025], ['t', 9.056]],all_letters:[['p', 1.929], ['e', 12.702], ['i', 6.966], ['b', 1.492], ['r', 5.987], ['l', 4.025], ['t', 9.056]],freq_mean:6.02242857143
time:2015-12-30 22:05:15,center:['u', 2.758],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['r', 5.987], ['b', 1.492], ['d', 4.253], ['t', 9.056]],all_letters:[['u', 2.758], ['i', 6.966], ['e', 12.702], ['r', 5.987], ['b', 1.492], ['d', 4.253], ['t', 9.056]],freq_mean:6.17342857143
time:2015-12-30 22:05:17,center:['c', 2.782],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['j', 0.153], ['d', 4.253], ['n', 6.749], ['t', 9.056]],all_letters:[['c', 2.782], ['e', 12.702], ['i', 6.966], ['j', 0.153], ['d', 4.253], ['n', 6.749], ['t', 9.056]],freq_mean:6.09442857143
time:2015-12-30 22:05:32,center:['i', 6.966],vowels:[['e', 12.702], ['o', 7.507]],consonants:[['n', 6.749], ['l', 4.025], ['r', 5.987], ['s', 6.327]],all_letters:[['i', 6.966], ['e', 12.702], ['o', 7.507], ['n', 6.749], ['l', 4.025], ['r', 5.987], ['s', 6.327]],freq_mean:7.18042857143
time:2015-12-30 22:05:36,center:['t', 9.056],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['n', 6.749], ['c', 2.782], ['h', 6.094], ['l', 4.025]],all_letters:[['t', 9.056], ['o', 7.507], ['e', 12.702], ['n', 6.749], ['c', 2.782], ['h', 6.094], ['l', 4.025]],freq_mean:6.98785714286
time:2015-12-30 22:05:53,center:['x', 0.15],vowels:[['a', 8.167], ['e', 12.702], ['i', 6.966]],consonants:[['h', 6.094], ['y', 1.974], ['n', 6.749]],all_letters:[['x', 0.15], ['a', 8.167], ['e', 12.702], ['i', 6.966], ['h', 6.094], ['y', 1.974], ['n', 6.749]],freq_mean:6.11457142857
time:2015-12-30 22:06:02,center:['g', 2.015],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['s', 6.327], ['t', 9.056], ['y', 1.974], ['h', 6.094]],all_letters:[['g', 2.015], ['e', 12.702], ['i', 6.966], ['s', 6.327], ['t', 9.056], ['y', 1.974], ['h', 6.094]],freq_mean:6.44771428571
time:2015-12-30 22:06:16,center:['z', 0.074],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['n', 6.749], ['s', 6.327], ['t', 9.056], ['l', 4.025]],all_letters:[['z', 0.074], ['i', 6.966], ['e', 12.702], ['n', 6.749], ['s', 6.327], ['t', 9.056], ['l', 4.025]],freq_mean:6.557
time:2015-12-30 22:06:20,center:['b', 1.492],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['h', 6.094], ['t', 9.056], ['m', 2.406], ['f', 2.228]],all_letters:[['b', 1.492], ['o', 7.507], ['e', 12.702], ['h', 6.094], ['t', 9.056], ['m', 2.406], ['f', 2.228]],freq_mean:5.92642857143
time:2015-12-30 22:06:23,center:['p', 1.929],vowels:[['e', 12.702], ['o', 7.507]],consonants:[['r', 5.987], ['d', 4.253], ['b', 1.492], ['t', 9.056]],all_letters:[['p', 1.929], ['e', 12.702], ['o', 7.507], ['r', 5.987], ['d', 4.253], ['b', 1.492], ['t', 9.056]],freq_mean:6.13228571429
time:2015-12-30 22:06:25,center:['m', 2.406],vowels:[['e', 12.702], ['o', 7.507], ['i', 6.966]],consonants:[['h', 6.094], ['r', 5.987], ['l', 4.025]],all_letters:[['m', 2.406], ['e', 12.702], ['o', 7.507], ['i', 6.966], ['h', 6.094], ['r', 5.987], ['l', 4.025]],freq_mean:6.52671428571
time:2015-12-30 22:07:19,center:['v', 0.978],vowels:[['e', 12.702], ['a', 8.167], ['i', 6.966]],consonants:[['r', 5.987], ['t', 9.056], ['d', 4.253]],all_letters:[['v', 0.978], ['e', 12.702], ['a', 8.167], ['i', 6.966], ['r', 5.987], ['t', 9.056], ['d', 4.253]],freq_mean:6.87271428571
time:2015-12-30 22:07:20,center:['u', 2.758],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['t', 9.056], ['n', 6.749], ['b', 1.492], ['m', 2.406]],all_letters:[['u', 2.758], ['o', 7.507], ['e', 12.702], ['t', 9.056], ['n', 6.749], ['b', 1.492], ['m', 2.406]],freq_mean:6.09571428571
time:2015-12-30 22:09:08,center:['o', 7.507],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['r', 5.987], ['s', 6.327], ['h', 6.094], ['c', 2.782]],all_letters:[['o', 7.507], ['i', 6.966], ['e', 12.702], ['r', 5.987], ['s', 6.327], ['h', 6.094], ['c', 2.782]],freq_mean:6.90928571429
time:2015-12-30 22:09:26,center:['q', 0.095],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['w', 2.361], ['l', 4.025], ['t', 9.056], ['r', 5.987]],all_letters:[['q', 0.095], ['a', 8.167], ['e', 12.702], ['w', 2.361], ['l', 4.025], ['t', 9.056], ['r', 5.987]],freq_mean:6.05614285714
time:2015-12-30 22:09:44,center:['o', 7.507],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['s', 6.327], ['h', 6.094], ['r', 5.987], ['d', 4.253]],all_letters:[['o', 7.507], ['e', 12.702], ['a', 8.167], ['s', 6.327], ['h', 6.094], ['r', 5.987], ['d', 4.253]],freq_mean:7.291
time:2015-12-30 22:09:53,center:['m', 2.406],vowels:[['o', 7.507], ['e', 12.702], ['a', 8.167]],consonants:[['t', 9.056], ['x', 0.15], ['h', 6.094]],all_letters:[['m', 2.406], ['o', 7.507], ['e', 12.702], ['a', 8.167], ['t', 9.056], ['x', 0.15], ['h', 6.094]],freq_mean:6.58314285714
time:2015-12-30 22:10:24,center:['y', 1.974],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['k', 0.772], ['l', 4.025], ['n', 6.749], ['t', 9.056]],all_letters:[['y', 1.974], ['e', 12.702], ['i', 6.966], ['k', 0.772], ['l', 4.025], ['n', 6.749], ['t', 9.056]],freq_mean:6.03485714286
time:2015-12-30 22:10:41,center:['v', 0.978],vowels:[['i', 6.966], ['o', 7.507], ['e', 12.702]],consonants:[['m', 2.406], ['t', 9.056], ['d', 4.253]],all_letters:[['v', 0.978], ['i', 6.966], ['o', 7.507], ['e', 12.702], ['m', 2.406], ['t', 9.056], ['d', 4.253]],freq_mean:6.26685714286
time:2015-12-30 22:11:12,center:['c', 2.782],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['b', 1.492], ['t', 9.056], ['n', 6.749], ['w', 2.361]],all_letters:[['c', 2.782], ['e', 12.702], ['a', 8.167], ['b', 1.492], ['t', 9.056], ['n', 6.749], ['w', 2.361]],freq_mean:6.187
time:2015-12-30 22:11:15,center:['n', 6.749],vowels:[['e', 12.702], ['i', 6.966]],consonants:[['c', 2.782], ['t', 9.056], ['s', 6.327], ['y', 1.974]],all_letters:[['n', 6.749], ['e', 12.702], ['i', 6.966], ['c', 2.782], ['t', 9.056], ['s', 6.327], ['y', 1.974]],freq_mean:6.65085714286
time:2016-01-01 07:48:36,center:['u', 2.758],vowels:[['o', 7.507], ['e', 12.702]],consonants:[['n', 6.749], ['m', 2.406], ['t', 9.056], ['l', 4.025]],all_letters:[['u', 2.758], ['o', 7.507], ['e', 12.702], ['n', 6.749], ['m', 2.406], ['t', 9.056], ['l', 4.025]],freq_mean:6.45757142857
time:2016-01-02 09:35:08,center:['c', 2.782],vowels:[['i', 6.966], ['a', 8.167], ['e', 12.702]],consonants:[['r', 5.987], ['h', 6.094], ['s', 6.327]],all_letters:[['c', 2.782], ['i', 6.966], ['a', 8.167], ['e', 12.702], ['r', 5.987], ['h', 6.094], ['s', 6.327]],freq_mean:7.00357142857
time:2016-01-04 08:32:13,center:['p', 1.929],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['g', 2.015], ['r', 5.987], ['n', 6.749], ['s', 6.327]],all_letters:[['p', 1.929], ['i', 6.966], ['e', 12.702], ['g', 2.015], ['r', 5.987], ['n', 6.749], ['s', 6.327]],freq_mean:6.09642857143
time:2016-01-05 08:29:57,center:['i', 6.966],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['n', 6.749], ['t', 9.056], ['s', 6.327], ['p', 1.929]],all_letters:[['i', 6.966], ['a', 8.167], ['e', 12.702], ['n', 6.749], ['t', 9.056], ['s', 6.327], ['p', 1.929]],freq_mean:7.41371428571
time:2016-01-06 05:36:37,center:['k', 0.772],vowels:[['i', 6.966], ['e', 12.702], ['a', 8.167]],consonants:[['n', 6.749], ['r', 5.987], ['g', 2.015]],all_letters:[['k', 0.772], ['i', 6.966], ['e', 12.702], ['a', 8.167], ['n', 6.749], ['r', 5.987], ['g', 2.015]],freq_mean:6.194
time:2016-01-07 07:41:50,center:['f', 2.228],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['b', 1.492], ['n', 6.749], ['t', 9.056], ['m', 2.406]],all_letters:[['f', 2.228], ['e', 12.702], ['a', 8.167], ['b', 1.492], ['n', 6.749], ['t', 9.056], ['m', 2.406]],freq_mean:6.11428571429
time:2016-01-08 09:27:17,center:['k', 0.772],vowels:[['a', 8.167], ['i', 6.966], ['e', 12.702]],consonants:[['t', 9.056], ['n', 6.749], ['g', 2.015]],all_letters:[['k', 0.772], ['a', 8.167], ['i', 6.966], ['e', 12.702], ['t', 9.056], ['n', 6.749], ['g', 2.015]],freq_mean:6.63242857143
time:2016-01-09 08:37:00,center:['g', 2.015],vowels:[['e', 12.702], ['a', 8.167]],consonants:[['l', 4.025], ['m', 2.406], ['d', 4.253], ['t', 9.056]],all_letters:[['g', 2.015], ['e', 12.702], ['a', 8.167], ['l', 4.025], ['m', 2.406], ['d', 4.253], ['t', 9.056]],freq_mean:6.08914285714
time:2016-01-10 05:05:18,center:['k', 0.772],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['c', 2.782], ['t', 9.056], ['m', 2.406], ['h', 6.094]],all_letters:[['k', 0.772], ['a', 8.167], ['e', 12.702], ['c', 2.782], ['t', 9.056], ['m', 2.406], ['h', 6.094]],freq_mean:5.997
time:2016-01-10 05:05:37,center:['v', 0.978],vowels:[['i', 6.966], ['e', 12.702]],consonants:[['n', 6.749], ['g', 2.015], ['t', 9.056], ['w', 2.361]],all_letters:[['v', 0.978], ['i', 6.966], ['e', 12.702], ['n', 6.749], ['g', 2.015], ['t', 9.056], ['w', 2.361]],freq_mean:5.83242857143
time:2016-01-10 05:05:49,center:['x', 0.15],vowels:[['e', 12.702], ['o', 7.507]],consonants:[['s', 6.327], ['h', 6.094], ['w', 2.361], ['t', 9.056]],all_letters:[['x', 0.15], ['e', 12.702], ['o', 7.507], ['s', 6.327], ['h', 6.094], ['w', 2.361], ['t', 9.056]],freq_mean:6.31385714286
time:2016-01-10 05:06:02,center:['l', 4.025],vowels:[['a', 8.167], ['e', 12.702]],consonants:[['k', 0.772], ['t', 9.056], ['n', 6.749], ['h', 6.094]],all_letters:[['l', 4.025], ['a', 8.167], ['e', 12.702], ['k', 0.772], ['t', 9.056], ['n', 6.749], ['h', 6.094]],freq_mean:6.795
